"Country","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","ISO"
"São Tomé and Príncipe","231","269","295","262","294","325","387","416","476","529","546","696","828","STP"
"Saudi Arabia","751,921","769,755","787,153","693,415","689,279","741,266","886,564","888,888","767,303","982,661","1,239,075","1,218,585","1,254,141","SAU"
"Senegal","17,672","18,919","19,802","17,777","19,035","20,989","23,127","23,405","24,566","27,535","27,843","30,701","32,829","SEN"
"Serbia","45,111","50,456","49,114","41,297","42,225","45,973","52,788","53,865","55,874","65,830","66,810","81,344","90,088","SRB"
"Seychelles","1,060","1,328","1,388","1,432","1,568","1,675","1,776","1,867","1,384","1,490","2,000","2,172","2,229","SYC"
"Sierra Leone","5,746","6,736","6,521","6,750","6,038","5,823","6,390","6,519","6,682","7,166","7,121","6,401","6,970","SLE"
"Singapore","295,093","307,576","314,864","307,999","320,759","344,795","377,976","376,827","351,227","441,111","514,253","511,182","572,877","SGP"
"Slovakia","94,784","99,136","101,739","89,188","90,322","95,944","106,660","105,855","107,646","120,591","115,884","133,617","140,892","SVK"
"Slovenia","46,196","47,868","49,527","42,714","44,279","48,136","53,713","53,916","53,342","61,582","59,946","69,275","72,950","SVN"
"Solomon Islands","1,185","1,286","1,336","1,308","1,379","1,470","1,615","1,619","1,536","1,558","1,467","1,506","1,584","SLB"
"Somalia","5,183","5,869","6,443","6,841","7,391","8,252","7,873","8,655","8,628","9,484","10,203","10,969","12,161","SOM"
"South Africa","434,400","400,877","381,195","346,663","323,493","381,317","405,093","389,245","337,876","419,878","407,430","381,334","401,076","ZAF"
"South Sudan","11,267","14,947","14,608","15,082","2,825","2,736","2,559","4,044","5,423","5,940","7,533","7,401","4,637","SSD"
"Spain","1,331,838","1,362,207","1,380,600","1,206,287","1,242,673","1,321,288","1,432,292","1,403,651","1,288,751","1,462,216","1,449,990","1,619,949","1,725,152","ESP"
"Sri Lanka","70,392","76,934","82,483","85,091","88,000","94,376","94,484","89,015","84,304","88,609","74,584","83,723","98,964","LKA"
"Saint Kitts and Nevis","849","897","974","957","1,007","1,057","1,061","1,088","867","843","963","1,034","1,051","KNA"
"Saint Lucia","1,598","1,660","1,749","1,808","1,869","1,999","2,061","2,095","1,511","1,869","2,334","2,397","2,574","LCA"
"Saint Vincent and the Grenadines","730","765","771","787","814","844","884","910","864","888","970","1,047","1,126","VCT"
"Sudan","48,948","52,892","60,726","64,534","64,888","48,906","33,590","31,484","35,215","35,131","33,462","36,947","29,156","SDN"
"Suriname","5,332","5,510","5,612","5,126","3,317","3,592","3,996","4,016","2,912","3,084","3,802","3,462","4,434","SUR"
"Sweden","549,740","584,125","577,728","501,602","513,058","535,172","549,649","530,894","544,266","631,693","575,071","578,991","604,827","SWE"
"Switzerland","698,233","719,187","741,185","705,861","698,552","706,894","741,219","736,850","755,582","840,084","858,345","928,689","970,190","CHE"
"Syria","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","SYR"
"Taiwan","495,610","512,943","535,328","534,515","543,081","591,687","610,690","613,512","676,861","776,965","765,624","757,387","801,495","TWN"
"Tajikistan","7,592","8,506","9,242","7,857","6,994","7,535","7,762","8,301","8,134","8,934","10,716","12,242","14,426","TJK"
"Tanzania","39,650","45,677","49,982","47,424","49,774","54,000","54,775","58,797","63,373","67,964","74,173","78,368","79,236","TZA"
